
2024/11/02 (15:50:01) | ===> btop++ v.1.4.0
2024/11/02 (15:50:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (16:56:02) | ===> btop++ v.1.4.0
2024/11/07 (16:56:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (17:31:36) | ===> btop++ v.1.4.0
2024/11/13 (17:31:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (15:00:40) | ===> btop++ v.1.4.0
2024/11/22 (15:00:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (00:14:55) | ===> btop++ v.1.4.0
2024/11/23 (00:14:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (06:31:27) | ===> btop++ v.1.4.0
2025/01/23 (06:31:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (16:07:06) | ===> btop++ v.1.4.0
2025/01/23 (16:07:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (11:39:57) | ===> btop++ v.1.4.0
2025/01/26 (11:39:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (23:01:29) | ===> btop++ v.1.4.0
2025/02/06 (23:01:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (11:18:52) | ===> btop++ v.1.4.0
2025/02/10 (11:18:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (20:10:00) | ===> btop++ v.1.4.0
2025/03/22 (20:10:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (00:56:44) | ===> btop++ v.1.4.0
2025/03/23 (00:56:44) | WARNING: Intel GPU: Failed to initialize PMU
